customer_id,checking_balance,savings_balance,total_balance,has_credit_card,has_personal_loan,has_mortgage,has_investment_account,has_business_account,product_count,digital_logins_90d,branch_visits_90d,support_calls_90d,monthly_deposits,monthly_card_spend,monthly_revenue,servicing_cost,monthly_profit,churn_probability,churn_risk_band,churned
CUST000001,1422.54,2668.17,4090.7,1,0,1,0,0,5,25,1,7,2779.04,1295.68,110.13,64,46.13,0.07,Low Risk,0
CUST000002,1177.49,3334.22,4511.71,0,0,0,0,0,3,17,2,1,3051.29,0.0,2.06,32,-29.94,0.14,Low Risk,0
CUST000003,0.0,29329.01,29329.01,1,0,0,0,0,3,17,1,1,7580.75,1418.85,40.2,28,12.2,0.08,Low Risk,0
CUST000004,831.23,2800.63,3631.86,1,0,0,1,0,5,15,0,6,4352.28,66.84,57.88,54,3.88,0.13,Low Risk,0
CUST000005,6229.98,32226.5,38456.48,1,0,0,0,0,4,29,1,0,12312.13,2291.83,59.44,22,37.44,0.08,Low Risk,0
CUST000006,4395.59,0.0,4395.59,1,0,0,1,0,4,27,2,1,9494.16,5676.51,158.64,32,126.64,0.02,Low Risk,0
CUST000007,3288.64,13316.3,16604.94,1,0,1,0,0,5,14,0,2,6238.75,1253.55,115.32,30,85.32,0.02,Low Risk,0
CUST000008,742.21,5831.32,6573.53,1,1,0,0,0,5,22,4,4,1601.79,797.01,62.51,58,4.51,0.23,Medium Risk,1
CUST000009,1582.68,6172.1,7754.78,0,0,1,0,0,4,29,2,0,982.16,0.0,88.61,26,62.61,0.08,Low Risk,0
CUST000010,850.29,6195.45,7045.74,0,0,0,1,0,4,24,2,3,4299.79,0.0,58.38,44,14.38,0.02,Low Risk,0
CUST000011,1483.75,11609.17,13092.93,1,0,0,0,0,4,28,2,7,4232.09,1906.29,40.61,68,-27.39,0.21,Medium Risk,0
CUST000012,1773.79,9097.27,10871.06,0,0,0,0,0,3,25,3,0,915.56,0.0,5.14,30,-24.86,0.08,Low Risk,0
CUST000013,1095.17,16041.21,17136.38,0,0,0,0,0,3,12,2,2,3642.82,0.0,8.39,38,-29.61,0.08,Low Risk,0
CUST000014,3093.4,16899.74,19993.15,0,0,0,0,0,3,20,2,1,3048.67,0.0,9.48,32,-22.52,0.14,Low Risk,0
CUST000015,7766.51,22934.77,30701.28,1,0,1,0,0,5,18,1,1,7039.12,906.08,115.37,28,87.37,0.02,Low Risk,0
CUST000016,6259.53,34677.54,40937.07,0,0,0,0,0,3,24,2,0,8479.67,0.0,19.43,26,-6.57,0.24,Medium Risk,0
CUST000017,1943.05,8260.05,10203.09,1,0,1,1,0,6,26,0,0,1632.85,872.2,160.48,18,142.48,0.02,Low Risk,0
CUST000018,12360.71,14818.26,27178.97,0,1,0,0,0,4,25,2,0,4277.15,0.0,56.53,26,30.53,0.18,Medium Risk,0
CUST000019,5424.94,20147.12,25572.06,0,0,0,0,0,3,28,1,0,5368.29,0.0,11.88,22,-10.12,0.24,Medium Risk,0
CUST000020,438.14,3800.19,4238.33,0,0,0,0,0,3,29,3,0,2841.15,0.0,2.05,30,-27.95,0.08,Low Risk,0
CUST000021,327.74,7216.06,7543.8,0,0,0,0,0,3,20,5,1,1573.95,0.0,3.72,44,-40.28,0.14,Low Risk,0
CUST000022,2217.59,15680.87,17898.46,0,0,0,0,0,3,25,0,10,8641.6,0.0,8.58,78,-69.42,0.27,Medium Risk,0
CUST000023,3532.55,5986.26,9518.81,1,0,1,0,0,5,25,2,4,7546.6,1445.06,115.18,50,65.18,0.07,Low Risk,0
CUST000024,3925.64,10295.73,14221.37,0,0,1,0,0,4,20,0,1,9228.1,0.0,91.46,24,67.46,0.02,Low Risk,0
CUST000025,0.0,15490.08,15490.08,1,0,0,0,0,3,8,2,10,2957.61,1185.34,29.08,86,-56.92,0.21,Medium Risk,0
CUST000026,6465.83,16583.32,23049.15,0,0,0,0,0,3,22,3,1,9858.13,0.0,10.45,36,-25.55,0.14,Low Risk,0
CUST000027,873.25,7049.99,7923.24,1,0,0,1,0,5,27,1,0,5400.72,0.0,58.82,22,36.82,0.02,Low Risk,0
CUST000028,3371.49,11575.47,14946.96,0,0,0,0,0,3,25,2,0,4336.67,0.0,6.91,26,-19.09,0.14,Low Risk,0
CUST000029,8180.01,9844.46,18024.48,0,0,0,0,0,3,22,2,1,5224.69,0.0,7.65,32,-24.35,0.24,Medium Risk,0
CUST000030,4084.33,0.0,4084.33,0,1,0,0,0,3,22,1,0,4403.62,0.0,46.36,22,24.36,0.18,Medium Risk,0
CUST000031,2100.04,8726.95,10826.99,0,0,0,0,0,3,23,4,2,5033.35,0.0,5.06,46,-40.94,0.24,Medium Risk,0
CUST000032,1313.25,12068.91,13382.17,1,0,0,1,0,5,19,0,1,5475.95,720.34,74.44,24,50.44,0.02,Low Risk,0
CUST000033,5749.0,22425.11,28174.11,0,0,0,0,0,3,25,1,3,12592.22,0.0,13.13,40,-26.87,0.14,Low Risk,0
CUST000034,1162.12,8266.65,9428.76,0,1,0,0,0,4,28,2,9,4404.13,0.0,49.52,80,-30.48,0.21,Medium Risk,1
CUST000035,4643.1,26930.88,31573.98,1,0,1,0,0,5,14,5,0,19509.92,6279.99,213.05,38,175.05,0.02,Low Risk,0
CUST000036,8096.48,43277.08,51373.56,1,0,0,1,0,5,14,0,1,11684.84,6314.98,193.01,24,169.01,0.02,Low Risk,0
CUST000037,8055.37,33380.87,41436.24,0,0,0,0,0,3,15,1,2,5610.22,0.0,19.38,34,-14.62,0.14,Low Risk,0
CUST000038,0.0,5740.8,5740.8,1,0,0,0,0,3,26,2,1,7621.84,1271.78,25.76,32,-6.24,0.08,Low Risk,0
CUST000039,4275.08,15076.41,19351.49,0,0,0,0,1,4,20,3,1,6269.15,0.0,83.96,36,47.96,0.08,Low Risk,0
CUST000040,3674.13,17868.03,21542.17,1,0,0,0,0,4,22,3,1,7963.56,4257.36,86.79,36,50.79,0.08,Low Risk,0
CUST000041,0.0,6590.18,6590.18,1,0,0,0,0,3,17,2,3,3450.42,438.47,11.19,44,-32.81,0.14,Low Risk,0
CUST000042,1253.96,13935.35,15189.32,0,0,1,0,0,4,32,4,0,12264.8,0.0,92.39,34,58.39,0.18,Medium Risk,1
CUST000043,1338.06,0.0,1338.06,0,0,0,0,0,2,27,1,0,7386.59,0.0,0.45,22,-21.55,0.26,Medium Risk,0
CUST000044,4148.47,12418.79,16567.26,0,0,0,1,0,4,23,3,0,8734.32,0.0,62.59,30,32.59,0.02,Low Risk,1
CUST000045,4786.1,15692.92,20479.02,0,1,0,0,0,4,24,0,1,4584.53,0.0,54.44,24,30.44,0.08,Low Risk,0
CUST000046,6059.45,64541.1,70600.54,1,0,1,1,0,6,28,3,0,16775.34,7941.66,317.24,30,287.24,0.02,Low Risk,0
CUST000047,1087.69,15488.41,16576.1,1,0,0,0,0,4,16,2,2,13341.19,2633.37,55.51,38,17.51,0.02,Low Risk,0
CUST000048,12114.46,0.0,12114.46,0,0,0,0,0,2,22,3,1,15288.52,0.0,4.04,36,-31.96,0.2,Medium Risk,0
CUST000049,1840.48,12720.38,14560.86,0,0,0,1,0,4,29,1,0,7684.19,0.0,61.97,22,39.97,0.08,Low Risk,0
CUST000050,840.22,4290.95,5131.17,0,0,0,0,0,3,14,1,0,8557.39,0.0,2.43,22,-19.57,0.14,Low Risk,1
CUST000051,2063.19,2531.26,4594.45,0,0,0,0,0,3,13,2,0,5201.79,0.0,1.95,26,-24.05,0.08,Low Risk,0
CUST000052,1617.11,0.0,1617.11,1,0,0,0,0,3,24,2,4,5896.73,1759.64,32.21,50,-17.79,0.37,High Risk,0
CUST000053,17915.52,40946.25,58861.78,1,0,0,0,0,4,15,1,0,12336.51,3862.36,95.97,22,73.97,0.18,Medium Risk,0
CUST000054,2980.89,9911.23,12892.12,1,0,0,0,1,5,19,5,1,10983.98,8556.27,234.96,44,190.96,0.02,Low Risk,0
CUST000055,1454.65,2675.35,4130.0,0,0,1,0,0,4,20,3,0,3544.6,0.0,86.82,30,56.82,0.02,Low Risk,0
CUST000056,1312.26,3024.99,4337.25,1,1,0,0,0,5,14,2,2,3135.68,840.54,62.08,38,24.08,0.02,Low Risk,0
CUST000057,5388.48,14007.34,19395.82,1,0,0,0,0,4,31,2,3,5074.82,1126.13,29.07,44,-14.93,0.08,Low Risk,0
CUST000058,0.0,0.0,0.0,1,0,0,0,0,2,15,2,1,8493.62,2232.61,40.19,32,8.19,0.19,Medium Risk,0
CUST000059,3970.16,8294.8,12264.96,0,0,0,0,0,3,25,2,0,17388.01,0.0,5.47,26,-20.53,0.08,Low Risk,0
CUST000060,1177.3,3214.55,4391.84,0,0,1,0,0,4,17,3,1,2181.52,0.0,87.0,36,51.0,0.02,Low Risk,0
CUST000061,1553.86,11137.53,12691.39,1,0,0,0,0,4,22,3,1,6775.27,2525.9,51.55,36,15.55,0.08,Low Risk,0
CUST000062,3338.73,0.0,3338.73,1,0,0,0,0,3,29,3,2,20128.43,7462.3,135.43,42,93.43,0.08,Low Risk,0
CUST000063,1415.52,11692.08,13107.6,0,0,0,0,0,3,16,2,3,9143.83,0.0,6.32,44,-37.68,0.08,Low Risk,0
CUST000064,6717.44,6442.9,13160.34,1,0,1,0,0,5,16,4,0,4805.38,1576.75,118.84,34,84.84,0.1,Low Risk,0
CUST000065,9423.57,54057.86,63481.42,1,0,0,0,0,4,21,2,4,20875.16,9135.31,194.61,50,144.61,0.21,Medium Risk,1
CUST000066,4702.52,11791.07,16493.6,1,1,1,0,0,6,25,3,3,8519.08,4469.54,217.91,48,169.91,0.02,Low Risk,0
CUST000067,0.0,22236.4,22236.4,0,0,1,0,0,3,12,1,0,11174.15,0.0,96.12,22,74.12,0.02,Low Risk,0
CUST000068,0.0,17627.68,17627.68,1,1,0,0,0,4,20,1,1,16683.41,3980.84,125.47,28,97.47,0.08,Low Risk,1
CUST000069,116.23,12758.07,12874.3,0,0,0,0,0,3,20,1,1,4490.34,0.0,6.42,28,-21.58,0.14,Low Risk,0
CUST000070,863.78,4993.14,5856.91,0,0,0,0,0,3,23,3,0,4728.89,0.0,2.78,30,-27.22,0.08,Low Risk,0
