customer_id,state,age_group,income_band,customer_segment,credit_score_band,tenure_band,estimated_income,tenure_years,estimated_credit_score
CUST000001,TN,45-54,Under 40K,Mass Market,Fair,5-10 Years,30000,7.0,630
CUST000002,MA,18-24,40K-75K,Mass Market,Fair,3-5 Years,57500,4.0,630
CUST000003,GA,45-54,75K-125K,Emerging Affluent,Good,3-5 Years,100000,4.0,700
CUST000004,FL,55-64,Under 40K,Affluent,Very Good,1-3 Years,30000,2.0,760
CUST000005,NJ,25-34,75K-125K,Mass Market,Good,1-3 Years,100000,2.0,700
CUST000006,OH,45-54,125K-200K,Emerging Affluent,Good,10+ Years,160000,12.0,700
CUST000007,IL,18-24,40K-75K,Emerging Affluent,Excellent,1-3 Years,57500,2.0,810
CUST000008,PA,45-54,Under 40K,Mass Market,Good,0-1 Years,30000,0.5,700
CUST000009,NJ,55-64,40K-75K,Mass Market,Very Good,1-3 Years,57500,2.0,760
CUST000010,WA,25-34,40K-75K,Affluent,Very Good,5-10 Years,57500,7.0,760
CUST000011,TN,35-44,40K-75K,Mass Market,Good,10+ Years,57500,12.0,700
CUST000012,VA,25-34,40K-75K,Emerging Affluent,Poor,5-10 Years,57500,7.0,560
CUST000013,IL,35-44,Under 40K,Affluent,Good,5-10 Years,30000,7.0,700
CUST000014,PA,45-54,40K-75K,Affluent,Good,1-3 Years,57500,2.0,700
CUST000015,NJ,45-54,75K-125K,Emerging Affluent,Good,3-5 Years,100000,4.0,700
CUST000016,TX,25-34,200K+,Mass Market,Fair,0-1 Years,240000,0.5,630
CUST000017,MD,25-34,Under 40K,Emerging Affluent,Good,1-3 Years,30000,2.0,700
CUST000018,TX,65+,75K-125K,Small Business,Excellent,0-1 Years,100000,0.5,810
CUST000019,AZ,45-54,75K-125K,Mass Market,Very Good,0-1 Years,100000,0.5,760
CUST000020,WA,25-34,Under 40K,Emerging Affluent,Very Good,10+ Years,30000,12.0,760
CUST000021,IL,35-44,Under 40K,Emerging Affluent,Very Good,3-5 Years,30000,4.0,760
CUST000022,MA,25-34,75K-125K,Mass Market,Very Good,3-5 Years,100000,4.0,760
CUST000023,NC,45-54,40K-75K,Mass Market,Good,10+ Years,57500,12.0,700
CUST000024,CA,25-34,40K-75K,Mass Market,Poor,5-10 Years,57500,7.0,560
CUST000025,WA,65+,75K-125K,Mass Market,Very Good,10+ Years,100000,12.0,760
CUST000026,IL,25-34,125K-200K,Mass Market,Fair,3-5 Years,160000,4.0,630
CUST000027,CO,45-54,40K-75K,Emerging Affluent,Good,10+ Years,57500,12.0,700
CUST000028,PA,25-34,40K-75K,Mass Market,Good,1-3 Years,57500,2.0,700
CUST000029,VA,18-24,75K-125K,Mass Market,Poor,0-1 Years,100000,0.5,560
CUST000030,OR,18-24,40K-75K,Emerging Affluent,Fair,0-1 Years,57500,0.5,630
